sub,ses,task,run,median_value,filename
0005,02,faces,2,60.63876724243164,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-faces_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,02,narratives,4,53.01285934448242,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-narratives_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,02,faces,1,52.43929672241211,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-faces_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,02,narratives,1,54.98511505126953,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-narratives_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,01,alignvideo,3,50.416717529296875,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-01_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,03,alignvideo,3,56.73168182373047,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-03_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,04,alignvideo,2,51.30120086669922,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-04_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,02,alignvideo,2,59.786556243896484,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,03,alignvideo,1,50.136940002441406,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-03_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,02,alignvideo,3,59.40501403808594,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,01,alignvideo,4,46.25022506713867,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-01_task-alignvideo_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,03,alignvideo,2,50.65331268310547,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-03_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
