sub,task,fd_mean
1041103,rest,0.0980009
1041103,faces,0.0898109
1041174,rest,0.0973287
1041174,faces,0.123231
1041271,rest,0.147408
1041271,faces,NA
1041307,rest,0.111498
1041307,faces,0.126661
1041328,rest,0.0769211
1041328,faces,0.233706
1041399,rest,0.136973
1041399,faces,0.137668
1041555,rest,0.0504047
1041555,faces,0.0709669
1041578,rest,0.079976
1041578,faces,0.0893304
1041587,rest,0.0881311
1041587,faces,0.122791
1041630,rest,0.1525
1041630,faces,0.138419
1042058,rest,0.10835
1042058,faces,0.124286
1042089,rest,0.128471
1042089,faces,0.121395
1042283,rest,NA
1042283,faces,NA
1042498,rest,0.167619
1042498,faces,0.173606
1042752,rest,0.109686
1042752,faces,0.135501
1042791,rest,0.108303
1042791,faces,0.132439
1042825,rest,0.0590065
1042825,faces,0.171136
1043098,rest,0.25239
1043098,faces,0.356921
1043325,rest,0.169508
1043325,faces,0.197114
1043332,rest,0.0756756
1043332,faces,0.0897089
1043397,rest,0.045558800000000003
1043397,faces,NA
1043474,rest,0.0496962
1043474,faces,0.0566292
1043796,rest,0.0916004
1043796,faces,NA
1043961,rest,0.225344
1043961,faces,NA
1043972,rest,0.0848176
1043972,faces,0.0628891
1043983,rest,0.0534737
1043983,faces,0.054103
1044017,rest,0.0930537
1044017,faces,0.107111
1044108,rest,0.269073
1044108,faces,NA
1044186,rest,0.265428
1044186,faces,0.167886
1044341,rest,0.10124
1044341,faces,0.152877
1044418,rest,0.103519
1044418,faces,0.174604
1044420,rest,0.170476
1044420,faces,NA
1044516,rest,0.106454
1044516,faces,0.101123
1044582,rest,0.127489
1044582,faces,0.168974
1044644,rest,0.0728542
1044644,faces,0.151691
1044661,rest,0.0538181
1044661,faces,0.0580345
1044713,rest,0.0769943
1044713,faces,0.103063
1044748,rest,NA
1044748,faces,NA
1044769,rest,0.189454
1044769,faces,0.254615
1044801,rest,0.157997
1044801,faces,0.178408
1044912,rest,0.0859234
1044912,faces,NA
1045177,rest,0.240867
1045177,faces,0.272175
1045252,rest,0.0370475
1045252,faces,0.0977755
1045689,rest,0.086566
1045689,faces,0.100698
1045986,rest,0.141338
1045986,faces,0.115625
1046087,rest,0.205411
1046087,faces,NA
1046379,rest,0.141402
1046379,faces,0.163829
1046557,rest,0.101639
1046557,faces,0.0966331
1046663,rest,0.0962084
1046663,faces,0.268702
1046915,rest,NA
1046915,faces,NA
