"sub","ses","run","fd_mean","dvars_mean","globalsignal_mean","task","task_factor"
"sub-0112","ses-03","run-02",0.101374126948335,32.5980870884041,3684.43133575972,"social","social"
"sub-0112","ses-03","run-03",0.127664118354765,33.2534144029851,3737.41476242002,"social","social"
"sub-0112","ses-03","run-04",0.276162786508106,35.698663727899,3729.0935088561,"social","social"
"sub-0112","ses-03","run-05",0.146705547081653,31.3235706911596,3716.788053081,"social","social"
"sub-0112","ses-03","run-06",0.146959125445235,32.5353146004592,3703.53888062494,"social","social"
"sub-0112","ses-04","run-01",0.487943911924225,41.0716641274397,3425.10416877483,"social","social"
"sub-0112","ses-04","run-02",0.918377872709529,53.5650416107922,3469.7518209215,"social","social"
"sub-0112","ses-04","run-03",0.746692062156142,44.7282761079219,3766.63480107532,"social","social"
"sub-0112","ses-04","run-04",0.522612386146957,41.9284379265212,3750.15887926391,"social","social"
"sub-0112","ses-04","run-05",0.327666020078071,35.9025693145809,3712.96123516909,"social","social"
"sub-0112","ses-04","run-06",0.505544451285878,40.991123315729,3731.20972613811,"social","social"
"sub-0114","ses-01","run-01",0.111904426442801,41.7841008254879,3684.10862968306,"social","social"
"sub-0114","ses-01","run-02",0.115332268014811,37.7354534615385,3682.35019030383,"social","social"
"sub-0114","ses-01","run-03",0.135010568141217,39.6426342743972,3675.83738368904,"social","social"
"sub-0114","ses-01","run-04",0.181306988577382,38.6059538553387,3688.12844619138,"social","social"
"sub-0114","ses-01","run-05",0.153961898179724,42.8413125464983,3710.17643177561,"social","social"
"sub-0114","ses-01","run-06",0.160130358231917,44.0927278920781,3647.21898291293,"social","social"
"sub-0115","ses-01","run-01",0.0999153311887485,36.7986953834673,2984.581392478,"social","social"
"sub-0115","ses-01","run-02",0.0992029307762342,35.3390867531573,2968.42173895729,"social","social"
"sub-0115","ses-01","run-03",0.099641210237543,35.4607218082664,2984.63353739351,"social","social"
"sub-0115","ses-01","run-04",0.132471895632905,35.1615795074627,2983.71951075311,"social","social"
"sub-0115","ses-01","run-05",0.168633105593341,36.2183527049369,2988.90976898648,"social","social"
"sub-0115","ses-01","run-06",0.192948149044776,36.7690819908152,3005.55531298959,"social","social"
"sub-0115","ses-03","run-01",0.0994662088385763,35.2849940746269,3318.78969195,"social","social"
"sub-0115","ses-03","run-02",0.0865311428195178,35.3443111033295,3327.19365539095,"social","social"
"sub-0115","ses-03","run-03",0.100038319398852,35.8103443203215,3317.40572501086,"social","social"
"sub-0115","ses-03","run-04",0.10625409279093,36.1024263398393,3339.82988493107,"social","social"
"sub-0115","ses-03","run-05",0.0968060038505166,37.6550087910448,3342.93403226539,"social","social"
"sub-0115","ses-03","run-06",0.0993860096493685,36.799077967853,3334.52655324421,"social","social"
"sub-0115","ses-04","run-01",0.132432194152698,35.2797757543054,3340.11784819362,"social","social"
"sub-0115","ses-04","run-02",0.106514521456028,37.8556203111366,3344.45643763978,"social","social"
"sub-0115","ses-04","run-03",0.120527143647532,37.6748393398393,3340.48659188352,"social","social"
"sub-0115","ses-04","run-04",0.101821991160735,38.2702167864524,3373.51048362592,"social","social"
"sub-0115","ses-04","run-05",0.132317334098737,34.0829247784156,3336.94054964814,"social","social"
"sub-0115","ses-04","run-06",0.119618590638347,37.5004955912744,3336.69849096841,"social","social"
"sub-0116","ses-01","run-01",0.107754121811711,36.1870813513203,3403.27327941267,"social","social"
"sub-0116","ses-01","run-02",0.124070878398393,36.1046563731343,3404.52716171333,"social","social"
"sub-0116","ses-01","run-03",0.122047637604592,37.7601408656716,3378.13718164521,"social","social"
"sub-0116","ses-01","run-04",0.108962048502411,40.1088351182549,3415.46435366511,"social","social"
"sub-0116","ses-01","run-05",0.165741262204363,37.7661162192882,3393.65796645172,"social","social"
"sub-0116","ses-01","run-06",0.122787416964523,36.0063900413318,3397.2692915048,"social","social"
"sub-0116","ses-03","run-01",0.138794308051665,36.9886936165327,3898.87071095437,"social","social"
"sub-0116","ses-03","run-02",0.13930819954558,38.384573576349,3839.26699639729,"social","social"
"sub-0116","ses-03","run-03",0.133776438059701,34.9723419265212,3900.75737571662,"social","social"
"sub-0116","ses-03","run-04",0.108523956820666,36.8720813513203,3896.28964784476,"social","social"
"sub-0116","ses-03","run-05",0.0972991029414466,37.3150567554535,3952.75588764972,"social","social"
"sub-0116","ses-03","run-06",0.142370314114466,33.0674211871412,3900.22741769341,"social","social"
"sub-0116","ses-04","run-01",0.106805648296048,35.5356724649828,3790.9748636451,"social","social"
"sub-0116","ses-04","run-02",0.0828141158847302,34.9126979655568,3769.39995791064,"social","social"
"sub-0116","ses-04","run-03",0.110964548838117,35.1640116590126,3776.31369854274,"social","social"
"sub-0116","ses-04","run-04",0.128473036289323,33.4635094029851,3788.68447920243,"social","social"
"sub-0116","ses-04","run-05",0.10693311581217,36.5430745120551,3792.13258296282,"social","social"
"sub-0116","ses-04","run-06",0.0960544322250287,36.8659225315729,3779.63046596133,"social","social"
"sub-0117","ses-01","run-01",0.130523638734099,43.4179288794489,3693.51392472374,"social","social"
"sub-0117","ses-01","run-02",0.0923891366475315,39.62224752124,3679.86143970318,"social","social"
"sub-0117","ses-01","run-03",0.180428039784156,41.696248130884,3695.22818662715,"social","social"
"sub-0117","ses-01","run-04",0.16490869895752,43.9090419885189,3675.82599584811,"social","social"
"sub-0117","ses-01","run-05",0.134138669058553,41.8145943765786,3682.47966497438,"social","social"
"sub-0117","ses-01","run-06",0.14096030413318,39.1788210493685,3708.73466890537,"social","social"
"sub-0118","ses-01","run-01",0.261746736675086,34.4218573490241,3992.71455057039,"social","social"
"sub-0118","ses-01","run-02",0.193590376568083,35.4029943168771,3989.86136002859,"social","social"
"sub-0118","ses-01","run-03",0.23731572213318,34.4714070344432,3992.33138545733,"social","social"
"sub-0118","ses-01","run-04",0.101484603932951,35.2143832594719,4030.30541327418,"social","social"
"sub-0118","ses-01","run-05",0.188101120947187,31.9999607887486,4000.12063414672,"social","social"
"sub-0118","ses-01","run-06",0.105745449846383,32.0673209035591,4024.93807258365,"social","social"
"sub-0119","ses-01","run-01",0.125094928809414,33.8682019517796,3617.03790568183,"social","social"
"sub-0119","ses-01","run-02",0.106056733274225,33.0067080929966,3612.68796917183,"social","social"
"sub-0119","ses-01","run-03",0.118881444150402,31.135024815155,3641.5897800837,"social","social"
"sub-0119","ses-01","run-04",0.14942480241791,31.6048363088404,3602.19055822879,"social","social"
"sub-0119","ses-01","run-05",0.133628503058783,31.4842015384615,3580.50942203825,"social","social"
"sub-0119","ses-01","run-06",0.157687450101033,32.5961998989667,3583.39283514813,"social","social"
"sub-0120","ses-01","run-01",0.108115516859885,38.3867602479908,3421.28747147974,"social","social"
"sub-0120","ses-01","run-02",0.177372734047072,36.6691358105626,3456.81232926248,"social","social"
"sub-0120","ses-01","run-03",0.125613919957979,44.1475415017222,3444.36443303959,"social","social"
"sub-0120","ses-01","run-04",0.13005843652124,42.4238020642939,3445.54923171518,"social","social"
"sub-0120","ses-01","run-05",0.0991610225051664,36.6899839758898,3445.26965623005,"social","social"
"sub-0120","ses-01","run-06",0.10771573163031,45.850198413318,3442.38699413297,"social","social"
